"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"433","Berlin-Tempelhof","13.4021","52.4675","48.0","https://cdc.dwd.de/rest/metadata/station/html/812300083047"
"427","Berlin-Schönefeld","13.5306","52.3807","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300201575"
"403","Berlin-Dahlem (FU)","13.3017","52.4537","51.0","https://cdc.dwd.de/rest/metadata/station/html/812300258343"
"430","Berlin-Tegel","13.3088","52.5644","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300376871"
"400","Berlin-Buch","13.5022","52.6309","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300552167"
"420","Berlin-Marzahn","13.5598","52.5447","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300670695"
"3987","Potsdam","13.0622","52.3813","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300794215"
"399","Berlin-Alexanderplatz","13.4057","52.5198","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300845991"
"410","Berlin-Kaniswall","13.7309","52.404","33.0","https://cdc.dwd.de/rest/metadata/station/html/812300964519"
"3205","Marwitz (Wasserwerk)","13.179","52.6579","33.0","https://cdc.dwd.de/rest/metadata/station/html/812301000741"
"53","Ahrensfelde","13.5634","52.585","60.0","https://cdc.dwd.de/rest/metadata/station/html/812301005501"
"4637","Staaken","13.1243","52.5404","31.0","https://cdc.dwd.de/rest/metadata/station/html/812301011063"
